dup,data,Market,Station,Date,Time,Search Phrase,Closed Captions,Hits,Demographic,Minute Ratings,Quarter Hour Ratings,Minute Gains,Minute Losses
,,Baltimore,WMAR,30-Dec-21,06:05 PM,fire, BALTIMORE CITY FIRE OFFICIALS,1,Persons 25-54,0.626,0.765,0,0
,,Baltimore,WMAR,30-Dec-21,06:05 PM,fire, BALTIMORE CITY FIRE OFFICIALS,1,Persons 35+,1.124,1.218,0,0
,,Baltimore,WMAR,30-Dec-21,06:05 PM,fire, BALTIMORE CITY FIRE OFFICIALS,1,Persons 35-54,0.684,0.684,0,0
,,Baltimore,WMAR,30-Dec-21,06:05 PM,fire, BALTIMORE CITY FIRE OFFICIALS,1,Persons 35-64,1.042,1.042,0,0
,,Baltimore,WMAR,30-Dec-21,06:05 PM,fire, BALTIMORE CITY FIRE OFFICIALS,1,Persons 50+,1.516,1.652,0,0
,,Baltimore,WMAR,30-Dec-21,06:05 PM,fire, BALTIMORE CITY FIRE OFFICIALS,1,Persons 55+,1.44,1.603,0,0
,,Baltimore,WMAR,30-Dec-21,06:05 PM,fire, BALTIMORE CITY FIRE OFFICIALS,1,Persons 6-11,0,0,0,0
,,Buffalo,WKBW,30-Dec-21,06:05 PM,fire, DESTROYED. FIRE INT 2 156 THAT WAS UNTIL A FIRE CHANGED THE FIRE. THIS MORNING’S FIRE DESTORYED,4,Households,3.858,5.175,0.47,0.006
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Females 12-24,0.602,1.011,0.187,0
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Females 18-34,0.441,0.441,0,0.129
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Females 18-49,0.76,0.881,0,0.258
,no,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Females 25-49,0.769,0.922,0,0.326
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Females 25-54,0.908,1.031,0,0.264
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Females 35-54,1.183,1.356,0,0.279
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Females 50+,2.817,3.788,0.26,0.304
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Females 55+,3.091,4.263,0.313,0.367
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Households,2.597,3.166,0.384,0.263
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Males 12-24,0,0.292,0,0
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Males 18-34,0,0.606,0,0
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Males 18-49,0.267,0.736,0,0.068
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Males 25-49,0.341,0.784,0,0.087
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Males 25-54,0.322,0.703,0,0.115
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Males 35-54,0.459,0.731,0,0.164
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Males 50+,1.907,2.274,0.228,0.172
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Males 55+,2.288,2.714,0.28,0.157
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Persons 12-17,0.226,0.642,0.19,0
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Persons 12-24,0.294,0.643,0.091,0
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Persons 18-34,0.217,0.525,0,0.064
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Persons 18-49,0.513,0.809,0,0.163
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Persons 2+,1.207,1.641,0.116,0.165
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Persons 2-11,0,0,0,0
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Persons 25-34,0.112,0.434,0,0.112
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Persons 25-49,0.556,0.854,0,0.207
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Persons 25-54,0.617,0.869,0,0.19
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Persons 35+,1.872,2.428,0.164,0.248
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Persons 35-54,0.826,1.048,0,0.222
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Persons 35-64,1.203,1.55,0,0.22
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Persons 50+,2.392,3.08,0.245,0.242
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Persons 55+,2.72,3.546,0.298,0.269
,,Los Angeles,KABC,30-Dec-21,06:04 PM,fire, FIRE DEPARTMENT AND L.A. COUNTY,1,Persons 6-11,0,0,0,0
,,San Antonio,KSAT,30-Dec-21,06:04 PM,fire, STARTED A FIRE AT A NORTHWEST THE SAN ANTONIO FIRE DEPARTMENT,2,Households,5.728,7.244,0,0.266
,,Buffalo,WKBW,30-Dec-21,06:04 PM,fire, FIRE CREWS -- CALLED TO THE THREE-ALARM FIRE AROUND ONE,2,Households,3.86,5.175,0.011,0.013
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Females 12-24,0.301,0.301,0,0
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Females 18-34,0.71,0.71,0,0
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Females 18-49,1.003,1.435,0.059,0
no,yes,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Females 25-49,1.124,1.677,0.076,0
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Females 25-54,2.062,2.503,0.061,0
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Females 35-54,2.511,3.11,0.083,0
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Females 50+,6.989,8.192,0.085,0.221
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Females 55+,7.269,8.734,0.103,0.269
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Households,5.6,6.761,0.377,0.228
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Males 12-24,0.315,0.315,0,0.315
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Males 18-34,0.295,0.894,0.599,0.295
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Males 18-49,0.831,1.793,0.615,0.147
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Males 25-49,0.899,2.164,0.809,0
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Males 25-54,0.715,1.72,0.643,0
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Males 35-54,0.982,1.933,0.453,0
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Males 50+,4.783,6.016,0.294,0.297
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Males 55+,5.918,7.444,0.364,0.367
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Persons 12-17,0,0,0,0
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Persons 12-24,0.308,0.308,0,0.16
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Persons 18-34,0.506,0.801,0.295,0.145
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Persons 18-49,0.92,1.608,0.328,0.071
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Persons 2+,2.838,3.714,0.203,0.134
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Persons 2-11,0,0.918,0,0
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Persons 25-34,0.425,0.98,0.556,0
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Persons 25-49,1.017,1.909,0.425,0
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Persons 25-54,1.42,2.129,0.338,0
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Persons 35+,4.47,5.637,0.239,0.173
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Persons 35-54,1.785,2.552,0.259,0
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Persons 35-64,2.303,3.29,0.276,0.079
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Persons 50+,5.971,7.187,0.181,0.256
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Persons 55+,6.65,8.143,0.223,0.314
,,Atlanta,WSB,30-Dec-21,06:03 PM,fire, LOOKS LIKE IT’S ON FIRE,1,Persons 6-11,0,0.586,0,0
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Females 12-24,0.456,0.456,0,0
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Females 18-34,1.203,1.203,0,0
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Females 18-49,1.315,0.797,0,0.519
no,yes,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Females 25-49,1.439,0.771,0,0.668
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Females 25-54,1.168,0.626,0,0.542
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Females 35-54,1.05,0.287,0,0.763
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Females 50+,3.936,4.51,0,0
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Females 55+,4.617,5.29,0,0
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Households,3.252,3.094,0.095,0.406
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Males 12-24,0,0,0,0
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Males 18-34,0,0,0,0
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Males 18-49,0.299,0.299,0,0
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Males 25-49,0.388,0.388,0,0
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Males 25-54,0.533,0.317,0,0.216
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Males 35-54,0.757,0.451,0,0.306
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Males 50+,2.65,2.679,0.192,0.508
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Males 55+,2.928,3.184,0.228,0.381
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Persons 12-17,0,0,0,0
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Persons 12-24,0.223,0.223,0,0
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Persons 18-34,0.594,0.594,0,0
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Persons 18-49,0.806,0.547,0,0.259
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Persons 2+,1.742,1.782,0.039,0.201
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Persons 2-11,0,0,0,0
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Persons 25-34,0.725,0.725,0,0
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Persons 25-49,0.915,0.58,0,0.335
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Persons 25-54,0.852,0.472,0,0.38
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Persons 35+,2.635,2.7,0.063,0.324
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Persons 35-54,0.905,0.368,0,0.537
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Persons 35-64,2.042,1.96,0.099,0.444
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Persons 50+,3.33,3.646,0.09,0.239
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Persons 55+,3.826,4.304,0.107,0.178
,,Phoenix (Prescott),KNXV,30-Dec-21,06:03 PM,fire, ONE FIRE HAS GROWN TO 1600,1,Persons 6-11,0,0,0,0
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Females 12-24,0.725,1.421,0,0
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Females 18-34,0,0,0,0
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Females 18-49,0.72,1.117,0.177,0
,no,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Females 25-49,0.899,1.396,0.221,0
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Females 25-54,1.021,1.419,0.177,0
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Females 35-54,1.397,1.943,0.242,0
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Females 50+,3.149,3.741,0.099,0.093
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Females 55+,3.496,4.213,0.12,0.113
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Households,2.272,2.823,0.138,0.063
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Males 12-24,0,0,0,0
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Males 18-34,0,0,0,0
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Males 18-49,0.115,0.442,0,0
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Males 25-49,0.145,0.559,0,0
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Males 25-54,0.333,0.666,0,0
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Males 35-54,0.457,0.915,0,0
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Males 50+,1.212,1.344,0,0
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Males 55+,1.236,1.399,0,0
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Persons 12-17,0.723,1.417,0,0
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Persons 12-24,0.356,0.697,0,0
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Persons 18-34,0,0,0,0
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Persons 18-49,0.421,0.784,0.089,0
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Persons 2+,1.257,1.611,0.057,0.021
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Persons 2-11,0.841,0.841,0,0
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Persons 25-34,0,0,0,0
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Persons 25-49,0.53,0.986,0.113,0
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Persons 25-54,0.684,1.051,0.09,0
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Persons 35+,1.768,2.247,0.091,0.033
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Persons 35-54,0.938,1.441,0.124,0
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Persons 35-64,1.292,1.731,0.08,0.048
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Persons 50+,2.243,2.62,0.052,0.05
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Persons 55+,2.447,2.908,0.064,0.061
,,"Washington, DC (Hagrstwn)",WJLA,30-Dec-21,06:03 PM,fire, >>> IN ALEXANDRIA THE CITY FIRE,1,Persons 6-11,0,0,0,0
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Females 12-24,0,0.786,0.393,0
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Females 18-34,0,0.715,0.358,0
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Females 18-49,0,0.349,0.174,0
,no,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Females 25-49,0,0,0,0
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Females 25-54,0.782,0.782,0,0
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Females 35-54,1.074,1.074,0,0
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Females 50+,1.477,1.295,0,0.52
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Females 55+,1.032,0.819,0,0.612
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Households,0.914,0.687,0,0.324
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Males 12-24,0.252,1.009,0,0
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Males 18-34,0.238,1.294,0,0
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Males 18-49,0.281,0.807,0,0
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Males 25-49,0.213,0.437,0,0
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Males 25-54,0.319,0.5,0,0
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Males 35-54,0.441,0.441,0,0
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Males 50+,1.351,0.732,0,0.62
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Males 55+,1.464,0.725,0,0.739
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Persons 12-17,0,0,0,0
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Persons 12-24,0.129,0.9,0.192,0
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Persons 18-34,0.119,1.006,0.178,0
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Persons 18-49,0.14,0.577,0.088,0
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Persons 2+,0.671,0.664,0.032,0.248
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Persons 2-11,0,0,0,0
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Persons 25-34,0,0.325,0,0
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Persons 25-49,0.105,0.215,0,0
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Persons 25-54,0.554,0.643,0,0
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Persons 35+,1.041,0.771,0,0.397
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Persons 35-54,0.763,0.763,0,0
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Persons 35-64,0.625,0.691,0,0.032
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Persons 50+,1.418,1.032,0,0.567
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Persons 55+,1.233,0.776,0,0.671
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:02 PM,fire, CAL FIRE IS WORKING WITH PKG3,1,Persons 6-11,0,0,0,0
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:01 PM,fire, CAL FIRE CAPTAIN MATTHEW,1,Females 12-24,0.393,0.786,0,0.393
,,Sacramnto-Stkton-Modesto,KXTV,30-Dec-21,06:01 PM,fire, CAL FIRE CAPTAIN MATTHEW,1,Females 18-34,0.358,0.715,0,0.358
