dup,data,Market,Station,Date,Time,Search Phrase,Closed Captions,Hits,Demographic,Minute Ratings,Quarter Hour Ratings,Minute Gains,Minute Losses
,,Philadelphia,WPVI,30-Dec-21,06:15 PM,fire, FIRE MARSHALL. PARADE TO HONOR PINE HILL FIRE SAYING THANK YOU TO THE FIRE SERVICE LONG LINE OF FIRE,4,Persons 2+,4.058,5.171,0.065,0.119
,,Philadelphia,WPVI,30-Dec-21,06:15 PM,fire, FIRE MARSHALL. PARADE TO HONOR PINE HILL FIRE SAYING THANK YOU TO THE FIRE SERVICE LONG LINE OF FIRE,4,Persons 2-11,0,0.725,0,0
,,Philadelphia,WPVI,30-Dec-21,06:15 PM,fire, FIRE MARSHALL. PARADE TO HONOR PINE HILL FIRE SAYING THANK YOU TO THE FIRE SERVICE LONG LINE OF FIRE,4,Persons 25-34,0.905,1.762,0,0.171
,,Philadelphia,WPVI,30-Dec-21,06:15 PM,fire, FIRE MARSHALL. PARADE TO HONOR PINE HILL FIRE SAYING THANK YOU TO THE FIRE SERVICE LONG LINE OF FIRE,4,Persons 25-49,0.864,1.565,0.064,0.062
,,Philadelphia,WPVI,30-Dec-21,06:15 PM,fire, FIRE MARSHALL. PARADE TO HONOR PINE HILL FIRE SAYING THANK YOU TO THE FIRE SERVICE LONG LINE OF FIRE,4,Persons 25-54,1.387,2.098,0.051,0.05
,,Philadelphia,WPVI,30-Dec-21,06:15 PM,fire, FIRE MARSHALL. PARADE TO HONOR PINE HILL FIRE SAYING THANK YOU TO THE FIRE SERVICE LONG LINE OF FIRE,4,Persons 35+,6.142,7.605,0.076,0.161
,,Philadelphia,WPVI,30-Dec-21,06:15 PM,fire, FIRE MARSHALL. PARADE TO HONOR PINE HILL FIRE SAYING THANK YOU TO THE FIRE SERVICE LONG LINE OF FIRE,4,Persons 35-54,1.588,2.238,0.073,0
,,Philadelphia,WPVI,30-Dec-21,06:15 PM,fire, FIRE MARSHALL. PARADE TO HONOR PINE HILL FIRE SAYING THANK YOU TO THE FIRE SERVICE LONG LINE OF FIRE,4,Persons 35-64,3.064,4.302,0.045,0.082
,,Philadelphia,WPVI,30-Dec-21,06:15 PM,fire, FIRE MARSHALL. PARADE TO HONOR PINE HILL FIRE SAYING THANK YOU TO THE FIRE SERVICE LONG LINE OF FIRE,4,Persons 50+,8.343,10.161,0.066,0.227
,,Philadelphia,WPVI,30-Dec-21,06:15 PM,fire, FIRE MARSHALL. PARADE TO HONOR PINE HILL FIRE SAYING THANK YOU TO THE FIRE SERVICE LONG LINE OF FIRE,4,Persons 55+,9.241,11.258,0.079,0.27
,,Philadelphia,WPVI,30-Dec-21,06:15 PM,fire, FIRE MARSHALL. PARADE TO HONOR PINE HILL FIRE SAYING THANK YOU TO THE FIRE SERVICE LONG LINE OF FIRE,4,Persons 6-11,0,0,0,0
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Females 12-24,1.216,1.216,0,0
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Females 18-34,2.257,2.257,0,0.407
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Females 18-49,1.557,1.762,0,0.199
,no,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Females 25-49,1.374,1.639,0,0.256
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Females 25-54,1.745,2.147,0.063,0.203
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Females 35-54,1.535,2.087,0.086,0
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Females 50+,7.332,9.048,0.459,0.108
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Females 55+,8.09,9.949,0.487,0.127
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Households,6.639,7.376,0.276,0.127
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Males 12-24,2.623,2.633,0,0.285
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Males 18-34,1.549,2.012,0,0.241
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Males 18-49,1.635,2.058,0,0.121
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Males 25-49,1.215,1.579,0,0
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Males 25-54,2.219,2.57,0,0
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Males 35-54,2.975,3.335,0,0
,,Boston (Manchester),WCVB,30-Dec-21,06:14 PM,fire, DOUG: SPEAKING WITH CAYCE‘S FIRE VOLUNTEER FIRE DEPARTMENT.,2,Males 50+,7.123,7.689,0,0.076
